question,answer,source_page
What is the role of the KU Leuven Admissions Office?,"The KU Leuven Admissions Office serves as the contact, advice, expertise, and administrative centre for KU Leuven and its Association regarding the admission of students with previous non-Flemish diplomas.",apply_main
Who should I contact if I have questions about applying with a non-Flemish diploma?,"You should contact the KU Leuven Admissions Office, which is the dedicated contact, advice, expertise, and administrative centre for students holding non-Flemish qualifications.",apply_main
Does a Flemish secondary school diploma guarantee direct registration to all bachelor's programmes?,"No. While it generally grants direct access, exceptions apply for joint programmes like the Bachelor of European Studies and joint bachelor's degrees with UC Louvain (Business Engineering and Laws), which require a formal application.",apply_main
"If I have a Flemish bachelor's degree, can I register directly for any master's programme?","Not necessarily. While it generally grants access, exceptions exist for certain advanced master's and Erasmus Mundus master's programmes, which may require you to submit a formal application.",apply_main
Is the application process the same for all international students?,"The process depends on where you obtained your previous degree. If it was outside the Flemish Community (except for certain Dutch VWO holders), you must go through the non-Flemish degree holder application process.",apply_main
Can I register directly at KU Leuven if my previous degree is from outside Belgium?,"No. If your previous degree was obtained outside the Flemish Community (Belgium), you must complete the formal application process and receive admission before you can register.",apply_main
What are the specific joint bachelor's degrees with UC Louvain mentioned in the admissions guidelines?,The joint bachelor's degrees with UC Louvain are the Bachelor of Business Engineering and the Bachelor of Laws.,apply_main
Why must applications for the Bachelor of European Studies be formally submitted?,"Because the Bachelor of European Studies is a joint programme, and all applications must be formally assessed by the organising consortium.",apply_main
"If I hold a Dutch VWO diploma, can I register directly for the Bachelor of Laws joint degree?","No, you cannot register directly. Because it is a joint degree with UC Louvain, you must submit a formal application for admission to be assessed by the organising consortium.",apply_main
Where can I find information specifically tailored for Dutch degree holders?,You can access specific information for Dutch degree holders (provided in Dutch) via the dedicated link on the KU Leuven application page.,apply_main
Does the Admissions Office handle applications for the entire KU Leuven Association?,"Yes, the KU Leuven Admissions Office functions as the contact, advice, expertise, and administrative centre for KU Leuven and its Association regarding admissions for non-Flemish diploma holders.",apply_main
What is the first step to apply if I have a non-Flemish degree?,You must go through the formal application process for non-Flemish degree holders before you can register for a KU Leuven programme.,apply_main
Are all Flemish diplomas verifiable through the LED?,"No, not all Flemish diplomas can be verified through the Flemish Learning and Experience Database (LED). If your institution is on the excluded list, you must submit an application for admission.",apply_main
What should I do if I am unsure whether my Flemish diploma can be verified via the LED?,"You should check the list of institutions whose diplomas cannot be verified via the LED. If your institution is listed, you must submit a formal application for admission.",apply_main
"If I meet the minimum eligibility requirements for a bachelor's programme, does that guarantee my admission to KU Leuven?","No. Meeting the minimum eligibility criteria means you are eligible to apply, but it does not guarantee selection. Admission can only be obtained by successfully completing the formal application process.",bachelor_eligibility
Are there other requirements besides my secondary school diploma that I need to prepare for bachelor's admission?,"Yes. Other elements may be requested during the admissions process, such as language or mathematics tests. You must consult the specific admission requirements of your chosen bachelor's programme to verify these additional requirements.",bachelor_eligibility
What are the minimum requirements for admission to a bachelor's programme if I hold A-levels?,"The general minimum requirement is 3 A-levels with a minimum grade of C for each A-level. Depending on the specific programme, higher grades or a minimal set of required subjects may be required.",bachelor_eligibility
I have a US High School diploma obtained outside of the USA. What are the academic requirements to apply?,"You must have obtained your diploma with a minimum of 4 AP courses or other advanced coursework taken in the final three years of high school. Additionally, the school where you studied must be accredited by MSACS, WASC, Cognia, or NEASC.",bachelor_eligibility
Can I apply to KU Leuven with a US High School diploma if I have fewer than 4 AP courses?,"Yes, you are still welcome to apply, but you are advised to do so with an accompanying SAT or ACT score.",bachelor_eligibility
Does KU Leuven accept a GED certificate for admission to bachelor's programmes?,"Yes, a GED certificate is accepted if it is obtained with a 'college ready' score and is accompanied by a SAT or ACT score.",bachelor_eligibility
Is a BTEC qualification accepted for admission to undergraduate programmes?,"A BTEC level 3 extended certificate may be accepted, though this is subject to institutional discretion.",bachelor_eligibility
What are the requirements for applicants holding a Chinese high school qualification?,You must submit your Senior High School Graduation Certificate (高中毕业证书) along with your results for the National College Entrance Examination/Gaokao. You must also check the specific webpage regarding the APS procedure.,bachelor_eligibility
What secondary school qualifications from India are accepted for bachelor's admission?,"KU Leuven accepts the All India Senior School Certificate, the Indian School Certificate, or the Senior Secondary School Examination.",bachelor_eligibility
I completed my secondary education in Japan. What are the requirements regarding the Common Test for University Admissions?,"You must submit your Upper Secondary School Leaving Certificate and results for the Common Test for University Admissions. You must take at least 3 subjects, with at least 1 being relevant to your chosen bachelor's programme.",bachelor_eligibility
Can the Japanese Common Test for University Admissions be waived or replaced?,"If the admission requirements of your chosen KU Leuven bachelor's programme stipulate that you must submit an SAT, ACT, AP Calculus, or SOWISO OMPT test, you do not need to submit the Common Test. However, the Common Test cannot be replaced by these tests if they are not part of the programme's specific requirements.",bachelor_eligibility
"I am from the Netherlands. Can I get direct access to a bachelor's programme, or do I need a Propedeuse?","Students who obtained a VWO diploma can get direct access to a bachelor's programme at KU Leuven. If you have a Propedeuse, you may need additional subjects at the VWO-level if they are required for a similar programme in the Netherlands.",bachelor_eligibility
What is the required qualification for applicants from Germany?,Applicants from Germany must submit a Zeugnis der allgemeinen Hochschulreife (Abitur) or an equivalent recognized qualification.,bachelor_eligibility
What are the requirements for students holding a French Baccalauréat?,"Applicants must hold a Baccalauréat Générale or Baccalauréat Technologique. For a Baccalauréat français obtained outside of France, it must be from the AEFE register.",bachelor_eligibility
What is the accepted secondary school qualification for applicants from Italy?,"Applicants from Italy must submit the Diploma di Esame di Stato, commonly referred to as the 'Diploma di Maturità'.",bachelor_eligibility
I completed my secondary education in Spain. What do I need to submit?,You need to submit your Título de Bachillerato along with your results for the university entrance examination (EBAU / EVAU / PAU).,bachelor_eligibility
What are the requirements for applicants with a Turkish high school diploma?,You must submit your High School Diploma (Lise Diploması) along with the results from the national university entrance examination (YKS - Yükseköğretim Kurumları Sınavı).,bachelor_eligibility
I went to high school in South Korea. What documents do I need to provide?,You must submit your high school diploma along with your results for the College Scholastic Ability Test (CSAT).,bachelor_eligibility
What are the requirements for South African applicants?,You must submit your National Senior Certificate along with your National Benchmark Test (NBT) results.,bachelor_eligibility
I have a Brazilian high school diploma. Is it sufficient on its own?,No. You must submit your Certificado de Conclusão do Ensino Médio along with your entrance examination results (Vestibular or ENEM) relevant to your intended field of study.,bachelor_eligibility
What is required for applicants from Australia?,"You must have graduated from a university-preparatory program at a senior secondary school (such as the ACT Senior Secondary Certificate, HSC, VCE, etc., depending on the state) and submit your ATAR score.",bachelor_eligibility
"I am from Ontario, Canada. What are the specific requirements for my high school diploma?",You must submit your Ontario Secondary School Diploma (OSSD) with six subjects completed at the (4U/M) level.,bachelor_eligibility
How do the requirements for Iranian applicants differ based on the year they graduated?,"For graduates from 2019-2020 onward, you need your High School Diploma plus national university entrance exam (Konkur) results. For graduates up to 2018-2019, you need your High School Diploma, the Pre-University Certificate, and your Konkur results.",bachelor_eligibility
What are the requirements for applicants from the Russian Federation?,You must submit your Certificate of Secondary (Complete) General Education (Attestat o Srednem (Polnom) Obshchem Obrazovanii) along with the results of a minimum of three subjects in the Unified State Examination (USE / EGE).,bachelor_eligibility
What are the requirements for students applying from Ukraine?,You must submit your secondary school diploma (Свідоцтво про здобуття повної загальної середньої освіти) along with the results of at least three subjects of the Independent External Examination (ZNO / IEE) or the national multi-subject test (NMT).,bachelor_eligibility
What do applicants from the UAE need to submit?,You must submit your Secondary School Certificate along with your results for the UAE Standardized Test (EmSAT).,bachelor_eligibility
What are the requirements for applicants from Zambia?,"You must have passes in a minimum of 5 subjects in the School Certificate / GCE, and you must complete your first year of studies (related to your intended undergraduate major at KU Leuven) at the University of Zambia or Copperbelt University as a proxy foundation programme.",bachelor_eligibility
What are the requirements for applicants from Zimbabwe?,"You must have passes in 3 subjects at the Zimbabwe General Certificate of Education at Advanced Level (A level), and 5 passes at the Ordinary Level (O level), which must include English.",bachelor_eligibility
What should I do if my country is not listed in the country-specific qualifications on the website?,"If you cannot find your country in the list and have doubts about whether your qualification makes you eligible, you should contact the KU Leuven Admissions Office.",bachelor_eligibility
When are the minimum eligibility requirements updated on the website?,The minimum eligibility requirements are updated before the start of each application period.,bachelor_eligibility
What is the first step I should take before starting my application to KU Leuven?,KU Leuven strongly recommends that you prepare your application and check all the requirements before starting the procedure. You can also join one of their online info sessions or webinars for guidance.,degree_instructions
"I hold dual citizenship, one of which is from an EEA country. Which nationality should I use for my KU Leuven application?","If you hold a double nationality and one of them is an EEA nationality, KU Leuven advises you to apply under your EEA nationality.",degree_instructions
How do I add a specific programme to my application in the web app?,"To add a programme, click the '+' button in the 'Applications' section on the main page of the web app, choose the type of programme, select the upcoming academic year, and use the search tool to find your specific programme.",degree_instructions
Can I apply for more than one programme at KU Leuven?,"Yes, you can apply for multiple programmes.",degree_instructions
What file formats are accepted for uploading documents in the KU Leuven application portal?,You can only upload documents in PDF (.pdf) or JPG (.jpg) formats.,degree_instructions
"How much is the application fee at KU Leuven, and does it cover multiple applications?","The application fee is EUR 90, and it must be paid for each individual application that you submit.",degree_instructions
Are there any exemptions to the EUR 90 application fee?,"Yes, some exemptions to the application fee apply.",degree_instructions
Can I get a refund for my application fee if I miss the deadline?,"No, a refund of the application fee is not possible for applications submitted after a strict deadline.",degree_instructions
Why is my 'Submit' button inactive in the application portal?,"The submit button will only become active after you accept the disclaimer. Additionally, if any mandatory document is missing, you will receive an error message and must upload the missing documents before submitting.",degree_instructions
What happens immediately after I submit my application?,"After submitting, you will receive a confirmation email. Your application will then be evaluated by the Admissions team and undergo a series of checks and evaluations.",degree_instructions
Why does the application evaluation process take so much time?,"The evaluation is a time-consuming process because it involves checks and evaluations by the Admissions team, as well as many internal and sometimes external stakeholders.",degree_instructions
What are the three possible outcomes of a KU Leuven application?,"The three possible outcomes are: Admitted (either without condition or on the condition of graduating), Conditional admission, or Rejection.",degree_instructions
How will I be notified about the final decision on my application?,You will be informed about the outcome of your application via email.,degree_instructions
Does receiving an admission letter mean I am officially registered as a student at KU Leuven?,"No, holding an admission letter does not mean you are registered and does not imply any kind of obligation regarding payment or enrollment. It simply allows the administrative process to continue.",degree_instructions
How will I know when I can officially register as a student after being admitted?,You will be informed via email when you can start up your registration as a student.,degree_instructions
Can I defer my admission to KU Leuven to the next academic year if I cannot attend?,"No, you cannot defer your admission to the next academic year. If you cannot come, you will have to re-apply and your application will be re-evaluated by the faculty.",degree_instructions
"If I have to re-apply next year because I couldn't attend, will my previous admission guarantee acceptance?","No, your application will be re-evaluated by the faculty. You will need to check if the admission requirements have been revised and, if applicable, upload proof that you meet these new requirements.",degree_instructions
What should I do if I encounter issues while filling out my curriculum or personal details in Step 1?,"You can try logging into the application again, or reach out for help by contacting KU Leuven directly.",degree_instructions
How do I check if a programme is still accepting applications?,You must check the application deadline for the specific programme you want to apply for to see if it is still open for applications.,degree_instructions
What types of documents do I need to upload during Step 3 of the application?,You need to upload both core documents and additional documents. The specific additional documents required depend on the programme you are applying for.,degree_instructions
Is the payment of the application fee mandatory for my application to be reviewed?,"Yes, the payment of the application fee is required for the application to be considered complete and evaluated.",degree_instructions
What happens if I try to submit my application but a mandatory document is missing?,"You will receive an error message, and you must upload the missing documents before you can successfully submit your application.",degree_instructions
What does 'Admitted on the condition of graduating' mean?,"It is one of the positive outcomes where you are admitted, but your final admission is contingent upon you successfully graduating from your current studies.",degree_instructions
What are the steps involved in the step-by-step application guide for KU Leuven?,"The steps are: 1) Create your account, 2) Apply for your programme(s), 3) Upload requested documents, 4) Pay application fee(s), 5) Submit your application, 6) Follow up on application assessment, 7) Receive the outcome, and 8) If admitted, proceed with next steps.",degree_instructions
Where can I find help if I have questions or run into technical issues during my application?,"You can contact KU Leuven directly using the 'Contact us' link, or attend one of their online webinars/info sessions.",degree_instructions
Can I upload my documents as Word documents (.docx) or PNG files?,"No, you can only upload documents in PDF (.pdf) or JPG (.jpg) formats.",degree_instructions
Does an admission letter oblige me to pay tuition fees immediately?,"No, holding an admission letter does not imply any kind of obligation regarding payment, enrollment, or registration.",degree_instructions
What should I do before starting the online application procedure?,KU Leuven strongly recommends that you prepare your application and check all the requirements before starting.,degree_instructions
How do I select the correct academic year when applying?,"During Step 2, when adding a programme, you must select the upcoming academic year from the options provided.",degree_instructions
Who evaluates my application after submission?,Your application is evaluated by the KU Leuven Admissions team and involves various internal and sometimes external stakeholders.,degree_instructions
I have a secondary education diploma from outside the Flemish Community. Can I register directly for a bachelor's degree?,"No, you cannot register directly. If your secondary education diploma is from outside the Flemish Community, you must follow the admission procedure. Only an explicit admission to a study programme grants you permission to register.",general_admission
What are the diploma requirements for direct admission to an academic bachelor's degree at KU Leuven?,Direct admission through the Registrar's office is granted if you hold a secondary education diploma within the Flemish Community (education qualification level 4) or a Dutch VWO diploma.,general_admission
I obtained a Dutch HBO diploma. Do I need to follow the admission procedure to enroll in a bachelor's programme?,"If you have a Dutch HBO, Propedeuse, or a higher diploma (bachelor, master) obtained in the Netherlands, you must contact the Admissions office first to see if you need to follow the admission procedure.",general_admission
Are there specific entrance exams required for any KU Leuven bachelor programmes?,"Yes, you must provide proof that you passed the specific entrance exam if you wish to enroll in the Bachelors of medicine or dentistry.",general_admission
Which bachelor programmes require participation in a positioning test?,"A positioning test is required for the following bachelors: Bio-ingenieurswetenschappen, biochemie en biotechnologie, biologie, biowetenschappen, biomedische wetenschappen, chemie, industriële wissenschaften, Engineering Technology, farmaceutische wetenschappen, fysica, geowetenschappen, ingenieurswetenschappen, ingenieurswetenschappen: architectuur, and wiskunde.",general_admission
What is the rule regarding the learning account for enrollment?,"For programmes where the learning account is applicable, students are only accepted if their learning account is higher than zero.",general_admission
I have a bachelor's degree from outside the Flemish Community and want to apply for a master's programme. What is the process?,You must first go through the admission procedure. Only an explicit admission to the study programme will grant you permission to register.,general_admission
"Where can I find the specific admission requirements for a master, bridging, or preparatory programme?","You should check the specific admission requirements in the study program guide. If the guide states that you must receive an authorization, you must present it upon definitive registration.",general_admission
Can I register for a credit contract if I do not meet the diploma requirements of the programme?,"In essence, you need to meet the diploma requirements of the programme under which the course falls. However, if you do not meet them, the faculty may allow you to register for the credit contract after reviewing your request.",general_admission
Does KU Leuven have regulations regarding study duration and academic progress?,"Yes, KU Leuven has specific regulations in place to monitor your academic progress and to limit your study duration.",general_admission
What is Article 36 of the Education and Examination Regulations?,"Article 36 allows the manager of Teaching and Learning Processes to decide that students can re-register by way of derogation from article 33, 34, or 35 (deviations from the refusal of registration).",general_admission
Can I file a request under Article 36 and an appeal under Article 104 at the same time?,"No, a request under article 36 can never be filed simultaneously with an appeal under article 104.",general_admission
I have a Dutch Propedeuse diploma. What is my first step to enroll in a bachelor's degree?,You must contact the Admissions office first to determine if you need to follow the admission procedure.,general_admission
Is a positioning test required for the Bachelor of Engineering Technology?,"Yes, the Bachelor of Engineering Technology is one of the programmes that require proof of participation in a positioning test.",general_admission
Do I need to take a positioning test for the Bachelor in de wiskunde (Mathematics)?,"Yes, proof of participation in the positioning test is required for the Bachelor in de wiskunde.",general_admission
What happens if my learning account is zero or lower?,"If the learning account is applicable to your chosen programme, you will only be accepted if your learning account is higher than zero.",general_admission
Is direct admission possible for students with a secondary education diploma from outside the Flemish Community?,"No, direct admission is not possible. You must follow the admission procedure and receive explicit admission to register.",general_admission
What are the options for continuing education at KU Leuven?,"Continuing education options include starting a PhD, lifelong learning at KU Leuven Continue, or enrolling for a credit contract.",general_admission
What is required to register for a credit contract in terms of diplomas?,"You generally need to meet the diploma requirements of the programme under which the course you wish to follow falls, unless the faculty grants an exception after reviewing your request.",general_admission
Who makes the decision regarding a student's re-registration under Article 36?,The manager of Teaching and Learning Processes makes the decision regarding re-registration by way of derogation.,general_admission
Is a positioning test required for the Bachelor in de biomedische wetenschappen?,"Yes, you must provide proof of participation in the positioning test for the Bachelor in de biomedische wetenschappen.",general_admission
Do I need to take an entrance exam for the Bachelor of Dentistry?,"Yes, you must provide proof that you passed the specific entrance exam for the Bachelor of Dentistry.",general_admission
I have a master's degree from the Netherlands. Who should I contact before applying for a bachelor's programme?,You should contact the Admissions office first to check if you need to follow the admission procedure.,general_admission
What must I present upon definitive registration if the study program guide requires an authorization?,You must be able to present the authorization upon definitive registration.,general_admission
Is a positioning test required for the Bachelor in de farmaceutische wetenschappen?,"Yes, proof of participation in the positioning test is required for the Bachelor in de farmaceutische wetenschappen.",general_admission
Can I register for a master's programme with a bachelor's degree from outside the Flemish Community without an admission procedure?,"No, you first have to go through the admission procedure. Only an explicit admission grants you permission to register.",general_admission
Is a positioning test required for the Bachelor in de fysica?,"Yes, proof of participation in the positioning test is required for the Bachelor in de fysica.",general_admission
What are the two types of secondary education diplomas that allow direct admission to a bachelor's degree through the Registrar's office?,A secondary education diploma within the Flemish Community (education qualification level 4) or a Dutch VWO diploma.,general_admission
What is the positioning test requirement for the Bachelor in de ingenieurswetenschappen: architectuur?,You must provide proof that you participated in the positioning test for this programme.,general_admission
Where can I find more information about the procedures for academic progress and deviations from registration refusal?,More information about these procedures can be found under the specific articles in the education and examination regulations.,general_admission
I do not have a Flemish degree. Can I still apply to KU Leuven?,Yes. KU Leuven provides a step-by-step application guide specifically for prospective international students who do not hold a Flemish degree that gives direct access to their desired programme.,how_to_apply
What are the main steps to prepare an application for a degree programme at KU Leuven?,"The six main steps are: 1) Browse programmes and get informed, 2) Check the admission requirements, 3) Check the application window, 4) Check the tuition fees and scholarship options, 5) Collect the requested documents, and 6) Start your application.",how_to_apply
Does the general step-by-step application guide apply to exchange or PhD students?,"No. This specific guide is for degree-seeking students pursuing a bachelor, master, advanced master, or postgraduate study. There are different application procedures for exchange students, PhD students, and credit contracts.",how_to_apply
How can I find out about the specific courses and career opportunities for a programme?,"You can visit the specific programme pages on the KU Leuven website, which provide detailed information about the courses, career opportunities, and the student profile they are looking for.",how_to_apply
Can I meet KU Leuven representatives in my home country?,"Yes. KU Leuven's international team attends study abroad information fairs in various countries, and they also offer a wide range of online presentations and webinars.",how_to_apply
Where can I find the admission requirements for a specific year of study?,"You should search for your desired programme on the KU Leuven website, click on 'admission requirements', and then select the admission requirements for the specific academic year you plan to start your studies.",how_to_apply
I am currently studying at another university. Can I transfer directly into a KU Leuven programme?,"No, it is not possible to transfer into a programme at KU Leuven. Applicants interested in transferring must apply as a new student via the regular application procedure.",how_to_apply
How does the admissions timeline work for KU Leuven programmes?,"The admissions process generally works on a rolling basis, but you must apply in time to start in the following academic year. Some English-taught programmes have fixed deadlines.",how_to_apply
What is the application deadline for Dutch-taught programmes?,"For Dutch-taught programmes, there is a fixed application deadline of February 1 for non-EEA applicants. For EEA applicants, there is no fixed deadline.",how_to_apply
How can I check the specific application deadline for an English-taught programme?,You can check the specific deadline for your English-taught programme by using the online application window tool provided on the KU Leuven website.,how_to_apply
How can I find out how much my tuition fees will be?,You can calculate the exact tuition fee for your specific programme by using the online tuition fee calculator on the KU Leuven website.,how_to_apply
"Does KU Leuven offer scholarships, and how can I find them?","Yes, KU Leuven offers scholarship options. You can check the available scholarships for your programme using the scholarships database on the KU Leuven website.",how_to_apply
Are the required application documents the same for all programmes?,"All programmes request the same core documents. However, additional documents may be required depending on the specific programme you wish to apply for, which can be checked in the programme's admission requirements.",how_to_apply
How do I submit my application to KU Leuven?,"To start your application, you must log in to the web app via your browser, complete your personal data, upload the required documents, and pay the application fee.",how_to_apply
Can I start my degree programme in the second semester (February)?,"Generally, no. It is not possible to submit an application for a diploma contract with the intention to start in the second semester, as all students start the academic year in September. The only exception is the Preparatory programme for the Master of Rehabilitation Sciences and Physiotherapy, which starts in February.",how_to_apply
"Does KU Leuven offer part-time, evening, or weekend classes?",No. All programmes at KU Leuven are taught full-time and during the day. The university does not offer evening or weekend classes.,how_to_apply
"What is an exchange student at KU Leuven, and do they pay tuition?",Exchange students spend a few months to a full academic year at KU Leuven while remaining enrolled at their home university. They do not pay tuition fees at KU Leuven (it is free of charge) as they participate via European Commission educational programmes like Erasmus+ or faculty-level exchange agreements.,how_to_apply
"What is a credit contract, and who can apply for it?",A credit contract is for students who want to register for one or more specific course units to obtain a credit certificate instead of a full degree. The individual faculties determine which course credits qualify for a credit contract.,how_to_apply
How can I start a PhD at KU Leuven?,You can start a PhD either by applying for an open vacant position or by finding a supervisor and writing your own research proposal. Both paths require formal approval and an invitation from your future supervisor.,how_to_apply
Is a supervisor's approval mandatory to apply for a PhD?,"Yes, starting a PhD at KU Leuven requires you to get a formal approval and invitation from your future supervisor.",how_to_apply
Are admission requirements uniform across all KU Leuven campuses?,"No, every programme has its own entry requirements, application procedure, and deadlines. You must always consult the specific conditions for your programme of interest at its respective campus.",how_to_apply
Where can I find the list of postgraduate certificates and continuing studies?,"You can check the list of postgraduate certificates and continuing studies directly on the KU Leuven website under the ""Browse our programmes"" section.",how_to_apply
What should I do if I encounter issues or have questions during the application process?,"You can reach out for help by contacting KU Leuven directly through the ""Contact us"" option on their application page.",how_to_apply
Do I need to pay a fee when submitting my application?,"Yes, starting your application via the web app requires you to complete your personal data, upload documents, and pay an application fee.",how_to_apply
Are there separate document checklists for Bachelor's and Master's applications?,"Yes, the website provides separate links and instructions for collecting requested documents depending on whether you are applying for a Bachelor's programme or a Master's, Advanced Master's, or postgraduate programme.",how_to_apply
Can I apply for a Dutch-taught programme if I am a non-EEA student?,"Yes, but you must respect the fixed application deadline of February 1.",how_to_apply
Is there a deadline for EEA applicants applying to Dutch-taught programmes?,"No, there is no fixed deadline for EEA applicants applying to Dutch-taught programmes.",how_to_apply
How does the rolling admissions process affect my application timing?,"Because admissions work on a rolling basis, you should apply in time to ensure you can start in the following academic year, keeping in mind that some English programmes have fixed deadlines.",how_to_apply
Can I register for individual courses without pursuing a full degree?,"Yes, you can apply for a credit contract to register for specific course units and obtain a credit certificate, subject to the regulations of the respective faculty.",how_to_apply
What is the main starting month for almost all degree programmes at KU Leuven?,"The main starting month is September, as all students start the academic year then (with the sole exception of the Preparatory programme for the Master of Rehabilitation Sciences and Physiotherapy in February).",how_to_apply
Who initially reviews my KU Leuven application for completeness and correctness?,Your application is first reviewed by Case Administrators. They inspect the files to ensure completeness and correctness based on KU Leuven's general language proficiency requirements and the specific academic requirements of your chosen programme.,process_details
What is the role of Credential Evaluators in the KU Leuven admissions process?,"Credential Evaluators examine the authenticity and content of your submitted diplomas and transcripts. They possess specialized, expert knowledge of international education systems and local languages, and they can request additional documents if necessary to complete their evaluation.",process_details
How does the academic evaluation phase work after my credentials are verified?,"The Admissions Office coordinates directly with the respective Faculties and Doctoral Schools within KU Leuven, which perform the academic evaluation of your application to determine if admission can be granted.",process_details
I am applying for a doctoral (Ph.D.) programme. Is there an extra step in the application process?,"Yes. For Ph.D. applications, your file must first be approved by your prospective thesis supervisor (referred to as a promoter at KU Leuven) before the Admissions Office can forward it to the faculty's doctoral committee.",process_details
What is a 'promoter' at KU Leuven?,"At KU Leuven, a 'promoter' is the term used to refer to your prospective thesis supervisor for a doctoral (Ph.D.) programme.",process_details
How long does it take to get a decision on my KU Leuven application?,"The approval process typically takes roughly six to eight weeks, starting from the moment you submit or resubmit a complete application file.",process_details
Will I receive any confirmation immediately after submitting my application?,"Yes, you will receive a confirmation email immediately after you submit your application.",process_details
Do all KU Leuven programmes follow the standard 6 to 8 weeks processing timeframe?,"No. While most programmes process applications on a rolling basis, some evaluate all applications in a single batch. Others require extra checks (such as security clearances, scholarships, or external partner collaborations) which have longer processes with no estimated timeframe.",process_details
Can the Admissions Office give me a time estimate if my programme requires extra security clearances or scholarship checks?,"No, KU Leuven cannot provide a time estimation for programmes requiring extra checks, such as security clearances, external partner collaborations, or scholarships. The admissions team will contact you as soon as the evaluation is complete.",process_details
Should I contact the admissions team to check on my application status during the evaluation period?,"No, there is no need to reach out. The admissions team will contact you as soon as the evaluation is complete. You can monitor your status in real-time using the online Applicant Tool.",process_details
What is the general recommendation regarding when to submit my application?,The general rule of thumb for all applicants is to apply as early as possible.,process_details
How can I track the progress of my application?,"You can track the progress of your application online via the Applicant Tool (web app). The processing status is updated automatically, minimizing the need to make enquiries via email or phone.",process_details
What does the status 'Created' mean in the Applicant Tool?,The 'Created' status means you have started your application but have not yet submitted it. You must click 'submit' because only submitted files can be evaluated by the admissions office.,process_details
What happens when my application status is 'Submitted' or 'resubmitted'?,This status indicates that your application has been received and is waiting to be checked for completeness and correctness by a case administrator from the admissions office.,process_details
What should I do if my application status changes to 'Incomplete'?,"If your status is 'Incomplete', you will receive an email notifying you of the missing information or documents. You must upload the missing items and resubmit your application as soon as possible.",process_details
